Root,Transliteration,Meaning,Voice,Class
श्रा,shra,"to cook, \nto boil",,
श्रै,shrai,to cook,,
श्रम्,shram,"to perform acts of penance, \nto be fatigued",,
श्रम्भ्,shrambh,"to be careless, \nto err",,
श्रण्,shran,to give\nto give,,
श्रङ्क,shranka,"to go, \nto move",,
श्रन्थ्,shranth,"to arrange\nto loosen\nto loosen, \nto liberate, \nto gladden, \nto bind\nto arrange",,
श्रथ्,shrath,"to be weak\nto kill\nto liberate, \nto kill\nto make effort, \nto set out",,
शृ,shri,"to tear asunder, \nto split in pieces, \nto hurt, \nto kill",,
श्रि,shri,"to serve, \nto depend upon",,
श्री,shri,"to cook, \nto dress",,
शृध्,shridh,"to break wind\nto insult, \nto mock at\nto moisten, \nto wet, \nto cut off",,
श्रिस्,shris,to burn,,
शृष्,shrish,to bring forth,,
श्र्Oण्,shron,"to heap \ntogether, \nto collect",,
श्रु,shru,"to go, \nto move",,
ष्ठिव्,shthiv,spit,,
शुभ्,shubh,"to shine\nto speak, \nto shine, \nto kill\nto shine, \nto look beautiful",,
शुच्,shuch,"to be wet, \nto be clean\nto regret, \nto grive for, \nto bewail",,
शुच्य,shuchya,"to perform ablution, \nto squeeze out juice, \nto distil",,
शुध्,shudh,"to become pure, \nto be made clear",,
शूल्,shul,"to be ill, \nto collect",,
शुल्क्,shulk,"to leave, \nto forsake, \nto pay, \nto give, \nto give, \nto gain",,
शुन्,shun,to go,,
शुन्ध्,shundh,"to purify\nto purify, \nto make clean",,
शुण्ठ्,shunth,"to dry, \nto become dry",,
शूप्,shup,to measure,,
शूर्,shur,"to be powerful, \nto be valiant\nto strike, \nto be firm",,
शुष्,shush,"to become dry, \nto be withered",,
शुट्,shut,"to resist, \nto go lame",,
शुठ्,shuth,to be lazy,,
श्वभ्,shvabh,"to go, \nto move",,
श्वल्,shval,to run,,
श्वल्क्,shvalk,"to tell, \nto narrate",,
श्वङ्क्,shvank,śvac to go,,
श्वस्,shvas,"to breath, \nto sigh, \nto hiss",,
ष्वष्क्,shvashk,to go,,
श्वठ्,shvath,"śvaṅṭh to leave unfinished, \nto go\nto speak ill or well",,
श्वि,shvi,"to move, \nto increase, \nto grow, \nto swell",,
श्विन्द्,shvind,to be white,,
श्वित्,shvit,to be white,,
श्यै,shyai,"to go, \nto move, \nto wither\nto dry up",,
सि,si,"to tie\nto tie, \nto bind",,
सिभ्,sibh,to kill,,
सिच्,sich,"to sprinkle, \nto moisten, \nto scatter",,
सिध्,sidh,"to be accomplished, \nto succeed, \nto be thoroughly prepared\nto go\nto ordain, \nto instruct, \nto do an auspicious act, \nto turn out auspiciously, \nto ward off, \nto restrain, \nto interdict",,
सीक्,sik,to sprinkle,,
सिल्,sil,to glean,,
सिम्भ्,simbh,to kill,,
सिन्व्,sinv,to sprinkle,,
सिट्,sit,to disregard,,
सिव्,siv,"to sew, \nto sow",,
स्कम्भ्,skambh,"to obstruct\nto obstruct, \nto s\ntop",,
स्कन्द्,skand,"to go, \nto be dry",,
स्खद्,skhad,"to destroy, \nto cut",,
स्खल्,skhal,"to stumble, \nto \ntotter, \nto deviate, \nto blunder, \nto err, \nto stammer, \nto drop",P,1
स्कु,sku,"to go by leaps, \nto cover, \nto raise",,
स्कुम्भ्,skumbh,"to hinder, \nto hold",,
स्कुन्द्,skund,"to jump, \nto raise, \nto lift",,
स्मि,smi,"to smile, \nto expand, \nto bloom",,
स्मील,smila,to wink,,
स्मिट्,smit,"to disrespect, \nto slight, \nto despise",,
स्मृ,smri,"to remember\nto recollect\nto long for, \nto regret\nto remember, \nto recollect, \nto think upon, \nto recite mentally, \nto record in a smriti",,
स्ना,sna,to bathe,,
स्नै,snai,"to cover, \nto wrap, \nto adorn",,
स्नस्,snas,"to reject, \nto eject",,
स्निह्,snih,"to feel affection for, \nto love, \nto be kind \nto\nto love, \nto account, \nto dissolve",,
स्निव्,sniv,"to go, \nto dry",,
स्नु,snu,to ooze,,
स्नुह्,snuh,to vomit,,
स्नुस्,snus,"to eat, \nto take, \nto disappear",,
स्O,so,"to put an end \nto, \nto kill, \nto finish",,
स्पर्ध्,spardh,"to contend with, \nto vie with, \nto emulate, \nto challenge",,
स्पश्,spash,"to obstruct, \nto \ntouch, \nto perceive clearly, \nto undertake, \nto string \ntogether\nto take, \nto embrace",,
स्फर्,sphar,"to tremble, \nto move",,
स्फाय्,sphay,"to grow fat, \nto increase, \nto expand",,
स्फिट्,sphit,to feel affection for,,
स्फिट्ट्,sphitt,to kill,,
स्फुड्,sphud,to cover,,
स्फुल्,sphul,"to tremble, \nto throb",,
स्फुण्ट्,sphunt,"to laugh at, \nto joke\nto open, \nto expand",,
स्फुर्,sphur,"to throb, \nto palpitate, \nto become agitated, \nto start, \nto appear clearly, \nto flash",P,6
स्फुर्च्छ्,sphurchchh,"to spreak, \nto extend, \nto forget",,
स्फूर्ज्,sphurj,"to thunder, \nto explode, \nto glitter, \nto burst",,
स्फुट्,sphut,"to blow, \nto blossom, \nto break\nto burst, \nto break open\nto burst\nto blossom\nto blow\nto split open",,
स्पृ,spri,"to gratify, \nto defend, \nto shake",,
स्पृह्,sprih,"to wish, \nto envy",,
स्पृश्,sprish,"to \ntouch, \nto cling \nto, \nto act upon\nto affect, \nto accept, \nto reach, \nto wash",,
स्रम्भ्,srambh,to err\nto entrust,,
स्रङ्क्,srank,"to go, \nto move",,
स्रंस्,srans,"to fall down, \nto drop, \nto slip off\nto hang down",A,1
स्रेक्,srek,"to go, \nto move",,
सृ,sri,"to go\nto go, \nto move, \nto approach, \nto slip, \nto blow, \nto flow\nto run",,
सृभ्,sribh,"to kill, \nto slay",,
सृज्,srij,"to be abandoned, \nto drop\nto leave, \nto create, \nto let loose, \nto let off, \nto throw, \nto produce, \nto put on",,
सृप्,srip,"to go, \nto creep",,
स्रु,sru,"to go, \nto flow",P,1
स्तभ्,stabh,"to s\ntop, \nto support",,
स्तग्,stag,cover,,
स्तै,stai,"to cover, \nto adorn",,
स्तक्,stak,"to resist, \nto repel",,
स्तक्ष्,staksh,"to go, \nto move",,
स्तम्,stam,"to be confused, not \nto be confused",,
स्तम्भ्,stambh,"to s\ntop, \nto hinder, \nto become stiff or naughty, \nto paralyze, \nto fix firmly",,
स्तन्,stan,"to sound, \nto thunder\nto thunder",P,1
स्तेन्,sten,to steal,,
स्तेप्,step,to ooze,,
स्था,stha,"to stand, \nto stay, \nto be",,
स्थग्,sthag,"to cover, \nto conceal",,
स्थल्,sthal,to stand firm,,
स्थिघ्,sthigh,to ascend\nto assail,,
स्थुड्,sthud,"to cover, \nto hide",,
स्थूल्,sthul,"to become s\ntout, \nto grow fat",,
स्तिम्,stim,"to become wet, \nto moist",,
स्तिप्,stip,to ooze,,
स्त्Oम्,stom,to praise,,
स्तृ,stri,"to cover, \nto spread",,
स्तृह्,strih,"to kill, \nto hurt, \nto strike",,
स्तु,stu,"to cover\nto praise, \nto glorify, \nto worship by hymns",U,2
स्तुभ्,stubh,to s\ntop,,
स्तुच्,stuch,to be pleased,,
स्तुक्ष्,stuksh,"to go, \nto move",,
स्तूप्,stup,"to collect\nto pile, \nto collect, \nto erect",,
स्त्यै,styai,"to sound, \nto collect in\nto a heap, \nto spread about, \nto crowd",,
सु,su,"to bring forth, \nto possess power or supremacy, \nto permit\nto bring forth, \nto possess supremacy, \nto permit\nto cause \nto bathe: \nto churn\nto pour out\nto bathe\nto press out juice\nto distil",,
सू,su,"to bring forth as a child\nto bring forth as a child\nto impel, \nto drive, \nto discharge, \nto remit",,
सुभ्,subh,"to speak, \nto kill\nto speak, \nto kill",,
सूच्,such,"to betray, \nto reveal, \nto show, \nto ascertain\nto try, \nto bind",,
सूद्,sud,"to distil, \nto strike, \nto hurt, \nto destroy, \nto leak, \nto deposit\nto strike, \nto wound, \nto distil, \nto deposit",,
सुह्,suh,to be satisfied,,
सुख्,sukh,to make happy,U,10
सुर्,sur,"to rule, \nto shine",,
सूर्क्ष्,surksh,to respect,,
सूर्क्ष्य,surkshya,"to envy, \nto despise",,
सुट्ट्,sutt,to disrespect,,
स्वद्,svad,"to be pleasant \nto the taste, \nto be liked, \nto taste, \nto eat, \nto please\nto make sweet",,
स्वाद्,svad,"to taste\nto taste, \nto be pleasing",,
स्वज्,svaj,"to embrace, \nto clasp, \nto encircle",,
स्वन्,svan,"to deck, \nto adorn\nto sound, \nto sing",P,1
स्वप्,svap,"to sleep, \nto lie down",P,2
स्वर्,svar,"to blame, \nto find fault with",,
स्वर्द्,svard,"to taste, \nto be pleasing",,
स्विद्,svid,"to be greedy, \nto perspire, \nto be disturbed, \nto quit\nto perspire",A,1
स्विद्,svid,"to be greedy, \nto perspire, \nto be disturbed, \nto quit\nto perspire",P,4
स्वृ,svri,"to sound, \nto praise, \nto pain",,
स्यम्,syam,"to consider, \nto think\nto sound, \nto shout",,
स्यन्द्,syand,"to ooze, \nto feel\nto throb, \nto quiver",A,1
तच्,tach,"to contract, \nto shrink\nto go",,
तड्,tad,"to strike, \nto beat, \nto play upon a musical instrument, \nto speak",,
तक्,tak,"to laugh at\nto bear, \nto fly or rush upon",,
तक्ष्,taksh,"to cut off\nto make thin\nto wound, \nto form\nto eat\nto pare, \nto cover",,
टल्,tal,to be confused,,
तल्,tal,"to be full or complete, \nto fix, \nto establish",,
तम्,tam,"to desire, \nto be fatigued",,
तन्,tan,"to confide in, \nto assist\nto confide in, \nto assist\nto pain with disease, \nto be harmless, \nto sound\nto spread, \nto stretch, \nto do, \nto spin out",,
तण्ड्,tand,to strike,,
तन्द्र्,tandr,"to be exhausted, \nto be disturbed in mind",,
तङ्ग्,tang,to go\nto stumble\nto tremble,,
टङ्क्,tank,to bind\nto build,,
तङ्क्,tank,to live in distress,,
तंस्,tans,"to adorn, \nto deck\nto decorate\nto shake, \nto pour out, \nto request",,
तन्त्र्,tantr,"to support, \nto maintain, \nto govern",,
तप्,tap,"to be powerful, \nto injure, \nto perform penance\nto heat, \nto burn, \nto afflict\nto shine, \nto be hot\nto make hot, \nto suffer pain, \nto injure or hurt, \nto undergo, \nto perform penance",,
तर्द्,tard,"to injure, \nto hurt or kill",,
तर्ज्,tarj,"to menace, \nto censure\nto threaten, \nto terrify, \nto scold, \nto mock",,
तर्क्,tark,"to shine, \nto intend, \nto suppose, \nto guess, \nto think of",,
तस्,tas,"to fade away, \nto become exhausted",,
तट्,tat,"to be raised, \nto rise, \nto groan",,
टौक्,tauk,to go,,
तय्,tay,to go,,
ताय्,tay,"to spread, \nto protect",,
तेज्,tej,to protect,,
तेप्,tep,"to ooze, \nto shake",,
तेव्,tev,to lament\nto play,,
थुढ्,thudh,to cover,,
थुर्व्,thurv,"to injure, hurt or kill",,
तिघ्,tigh,"to kill, \nto challenge",,
तिज्,tij,"to endure or bear patiently\nto whet\nto whet, \nto sharpen",,
टिक्,tik,to go,,
टीक्,tik,"to go, \nto resort \nto",,
तिक्,tik,"to assail, \nto go, \nto seek, \nto injure or kill, \nto challenge\nto go or move",,
तीक्,tik,to go,,
तिल्,til,"to go\nto oil, \nto be greasy\nto oil\nto anoint",,
तिल्ल्,till,to go,,
तिम्,tim,"to be wet, \nto be moist",,
टिप्,tip,"to throw, \nto send",,
तिप्,tip,"to drop, \nto ooze",,
तीर्,tir,"to finish, \nto get through",,
तीव्,tiv,to be strong or fat or corpulent,,
त्Oड्,tod,to disregard,,
त्रै,trai,to protect,,
त्रख्,trakh,to go,,
त्रन्द्,trand,to act\nto try\nto be busy or active,,
त्रङ्क्,trank,to go,,
त्रङ्ख्,trankh,to go,,
त्रंस्,trans,to speak\nto speak\nto shine,,
त्रप्,trap,to be ashamed or abashed\nto be embarrassed,,
त्रस्,tras,"to fear, \nto tremble\nto take, \nto hold, \nto oppose",,
त्रौक्,trauk,to go,,
तृ,tri,"to swim, \nto cross over, \nto float, \nto surmount\nto master completely, \nto fulfil, \nto escape from",,
तृद्,trid,"to kill, \nto disregard",,
तृह्,trih,to kill\nto kill,,
तृक्ष्,triksh,to go,,
तृण्,trin,"to eat, \nto graze",,
त्रिंख्,trinkh,to go,,
तृप्,trip,"to be satisfied or pleased, \nto please or satisfy\nto be satisfied, \nto light\nto please or \nto be pleased",,
तृष्,trish,"to be thirsty, \nto wish",,
त्रुप्,trup,"trump, trumph to kill, injure or hurt",,
त्रुट्,trut,to cut\nto cut\nto break,,
त्सर्,tsar,to creep\nto crawl\nto proceed crookedly or fraudulently,,
तु,tu,"to go, \nto grow, \nto kill",,
तुभ्,tubh,"to injure, hurt or kill\nto kill\nto kill",,
तुड्,tud,"to split, \nto push, \nto injure, \nto hurt\nto tear, \nto kill",,
तुद्,tud,to wound\nto strike\nto pain\nto ved,,
तूड्,tud,"to split, \nto disregard",,
तुड्ड्,tudd,"to disregard, \nto condemn",,
तुह्,tuh,"to hurt, \nto kill, \nto pain",,
तुज्,tuj,"to hurt, injure or kill\nto reach, \nto kill, \nto be strong, \nto take, \nto dwell, \nto protect \nto cloth, \nto strike, \nto push, \nto emit, \nto incite, \nto give\nto strike, \nto be strong, \nto take, \nto live",,
तुल्,tul,"to weigh, \nto measure",,
तूल्,tul,"to weigh, \nto measure",,
तुम्ब्,tumb,"to be invisible, \nto trouble\nto distress, \nto hurt",,
तुम्प्,tump,"to injure, hurt or kill",,
तुण्,tun,to curve\nto fill up,,
तुण्ड्,tund,"to disregard, \nto condemn",,
तुप्,tup,"to injure, hurt or kill",,
तुफ्,tuph,"to injure, hurt or kill",,
तुप्तुम्प्,tuptump,to kill\nto please or \nto be pleased,,
तुर्,tur,"to make haste\nto be quickly, \nto make haste, \nto hurt or kill",,
तुर्व्,turv,to kill,,
तुस्,tus,to sound,,
तुष्,tush,to be pleased or delighted,,
तूष्,tush,to satisfy or \nto be satisfied,,
तुट्,tut,to quarrel\nto cut,,
तुत्थ्,tutth,to cover,,
त्वच्,tvach,to cover\nto go,,
त्वक्ष्,tvaksh,to make thin,,
ट्वल्,tval,to be confused,,
त्वङ्ग्,tvang,to go\nto tremble,,
त्विष्,tvish,to shine\nto glitter,,
त्यज्,tyaj,"to abandon, \nto leave, \nto quit, \nto let go, \nto renounce, \nto except, \nto distribute, \nto disregard",,
उ,u,to utter a voice\nto sound,,
उभ्,ubh,to fill with,,
उब्ज्,ubj,to make straight,,
उच्,uch,to be gathered \ntogether,,
उच्छ्,uchchh,to dwell abroad\nto retire,,
उछ्,uchh,to glean\nto glean,,
उध्रस्,udhras,to glean\nto glean,,
उह्,uh,to hurt or kill,,
ऊह्,uh,"to conjecture, \nto infer, \nto guess\nto note\nto expect\nto reason",,
उज्झ्,ujjh,to abandon\nto leave,P,6
उख्,ukh,to go,,
उक्ष्,uksh,to sprinkle\nto wet,,
उलण्ड्,uland,to throw up,,
ऊन्,un,"to lessen, \nto deduct",,
उन्द्,und,to moisten,,
उङ्ख्,unkh,to go,,
उर्द्,urd,"to measure, \nto play\nto taste\nto grant\nto be cheerful",,
ऊर्ज्,urj,"to be strong, \nto live",,
ऊर्णु,urnu,to cover,,
उर्व्,urv,to kill or hurt,,
उष्,ush,to burn,,
ऊष्,ush,to be ill,,
उठ्,uth,to knock down,,
ऊठ्,uth,to knock down,,
ऊय्,uy,to weave\nto sew,,
वा,va,to go\nto blow\nto hurt\nto injure\nto kill\nto move,,
वभ्,vabh,to go\nto move,,
वच्,vach,"to deceive\nto go\nto speak, \nto tell, \nto read\nto speak\nto read\nto name\nto call\nto announce",,
वाछ्,vachh,to desire\nto wish,,
वद्,vad,"to inform, \nto communicate\nto speak\nto tell\nto describe\nto utter",,
वह्,vah,"to bear, \nto carry\nto flow\nto marry\nto propel",,
वाह्,vah,to endeavour,,
वै,vai,"to be dry, \nto be languid",,
वज्,vaj,"to go\nto move\nto prepare the way, \nto feather an arrow",,
वख्,vakh,to go\nto move,,
वक्ष्,vaksh,to be angry\nto collect,,
वल्,val,to cover\nto move\nto cover\nto move,,
वल्भ्,valbh,to eat\nto devour,,
वल्ग्,valg,to go\nto move\nto jump\nto gallop\nto be pleased,,
वल्ह्,valh,"to speak, \nto kill or hurt\nto give",,
वल्क्,valk,to speak,,
वल्ल्,vall,to be covered\nto go\nto move,,
वम्,vam,"to vomit, \nto drop\nto emit\nto give out\nto reject",,
वण्,van,to sound,,
वन्,van,"to act\nto beg, \nto request, \nto seek\nto sound\nto honour\nto aid",,
वङ्घ्,vangh,to go\nto blame,,
वङ्क्,vank,to be crooked\nto go,,
वङ्ख्,vankh,to go\nto move,,
वाङ्क्ष्,vanksh,to wish\nto desire,,
वण्ट्,vant,to salute respectfully\nto praise\nto divide\nto divide,,
वप्,vap,to sow\nto plant\nto procreate\nto weave\nto shave\nto shear,,
वर्,var,"to wish, \nto obtain, \nto desire",,
वर्च्,varch,to shine,,
वर्ध्,vardh,"to cut, \nto fill",,
वर्ह्,varh,to speak\nto kill\nto kill or hurt\nto give,,
वर्ण्,varn,"to paint, \nto delineate, \nto extend, \nto praise, \nto describe, \nto drive",,
वर्ष्,varsh,to melt\nto love,,
वस्,vas,"to dwell\nto dwell\nto live\nto fix, \nto be straight\nto love, \nto cut, \nto take away\nto wear, \nto dress",,
वास्,vas,"to perfume, \nto incense",,
वश्,vash,to wish\nto long for,,
वष्,vash,to hurt\nto kill\nto injure,,
वाश्,vash,"to howl, \nto growl, \nto roar",,
वस्क्,vask,to go\nto move,,
वस्त्,vast,"to hurt, \nto \ntorment, \nto go, \nto ask",,
वट्,vat,"to cover\nto surround\nto speak\nto tie, \nto string, \nto connect, \nto divide",,
वात्,vat,"to make happy, \nto serve\nto fan",,
वठ्,vath,to become fat\nto go alone\nto tie,,
वावृत्,vavrit,to choose,,
वय्,vay,to go\nto move,,
वे,ve,"to weave, \nto sew, \nto compose",,
वेह्,veh,to endeavour,,
वेल्,vel,"to count the time\nto go, \nto move\nto shake\nto tremble",,
वेण्,ven,"to go, \nto know, \nto consider, \nto play on an instrument, \nto take",,
वेप्,vep,"to tremble, \nto shake",,
वेष्ट्,vesht,"to surround, \nto dress",,
वेथ्,veth,"to beg, \nto ask",,
वेवी,vevi,"to go, \nto pervade, \nto be born, \nto impregnate, \nto desire, \nto throw, \nto eat",,
वी,vi,to go\nto pervade\nto be born\nto be impregnate\nto desire\nto throw\nto eat\nto conceive,,
विच्,vich,"to divide, \nto separate, \nto discern, \nto remove from",,
विच्छ्,vichchh,"to go, \nto move\nto speak, \nto shine",,
विद्,vid,"to be, \nto exist\nto discuss, \nto reason upon, \nto consider, \nto understand\nto feel, \nto experience, \nto tell, \nto dwell\nto get, \nto obtain, \nto find, \nto take in marriage\nto know\nto learn\nto find out\nto consider",,
विडम्ब्,vidamb,"to mock, \nto imitate, \nto ridicule",,
विध्,vidh,to pierce,,
विज्,vij,"to fear, \nto tremble\nto fear, \nto tremble, \nto be disgusted\nto separate, \nto divide, \nto distinguish, \nto discern",,
वीज्,vij,to fan,,
विल्,vil,"to cover, \nto conceal\nto throw, \nto cast",,
वीर्,vir,"to display heroism, \nto be powerful",,
विस्,vis,to send,,
विश्,vish,to enter,,
विष्,vish,to pervade\nto separate\nto disjoin\nto sprinkle,,
विष्क्,vishk,"to see, \nto perceive",,
विट्,vit,to curse\nto sound,,
विथ्,vith,to beg\nto ask,,
व्ली,vli,"to choose, \nto select, \nto hold, \nto go",,
व्रज्,vraj,"to clear the way, \nto go\nto go",,
व्रण्,vran,"to sound\nto wound, \nto hurt",,
व्रश्च्,vrashch,"to cut, \nto tear, \nto wound",,
वृ,vri,"to choose\nto select\nto choose\nto solicit\nto cover\nto surround\nto restrain\nto cover, \nto conceal\nto cover\nto conceal\nto serve\nto worship",,
व्री,vri,"to choose\nto choose, \nto select, \nto hold, \nto go",,
वृच्,vrich,"to abandon, \nto exclude",,
व्रीड्,vrid,"to throw, \nto be ashamed",,
वृध्,vridh,"to incrase, \nto grow, \nto continue, \nto become joyful",,
वृह्,vrih,"to work, \nto labour",,
वृज्,vrij,"to avoid\nto avoid\nto avoid\nto avoid, \nto abandon",,
वृक्,vrik,to accept\nto seize,,
वृक्ष्,vriksh,to cover,,
वृण्,vrin,"to please, \nto gratify",,
वृंह्,vrinh,"to speak, \nto shine",,
वृश्,vrish,"to choose, \nto like",,
वृष्,vrish,"to have the power of production\nto rain, \nto sprinkle, \nto kill, \nto afflict, \nto give pain",,
वृत्,vrit,"to be\nto happen\nto be presen\nto act\nto tend \nto\nto choose, \nto like\nto speak, \nto shine",,
व्रुड्,vrud,"to cover, \nto heap",,
वुङ्ग्,vung,"to abandon, \nto leave",,
वुण्ट्,vunt,vuṣ to kill,,
वुस्,vus,to divide,,
व्यच्,vyach,"to deceive, \nto defraud",,
व्यध्,vyadh,"to strike, \nto hurt, \nto stab, \nto pierce",,
व्यथ्,vyath,"to be vexed, \nto fear, \nto become dry",,
व्यय्,vyay,"to expend\nto go, \nto move",,
व्ये,vye,"to cover, \nto veil",,
व्युष्,vyush,"to divide, \nto burn",,
या,ya,to go\nto attend \nto\nto go or pass away\nto attempt\nto perceive,,
यभ्,yabh,to cohabit,,
याच्,yach,"to beg, \nto ask, \nto solicit",,
यज्,yaj,"to make an oblation \nto a deity, \nto associate with, \nto sacrifice, \nto worship, \nto give",,
यक्ष्,yaksh,to honour,,
यम्,yam,"to check, \nto s\ntop\nto cover, \nto surround",,
यन्त्र्,yantr,"to restrain, \nto bind",,
यस्,yas,"to endeavour\nto strive, \nto endeavour, \nto labour",,
यत्,yat,"to strive after, \nto be watchful\nto \ntorture, \nto encourage",,
यौट्,yaut,to bind,,
येष्,yesh,"to try, \nto attempt",,
यु,yu,"to bind\nto censure, \nto despise\nto mix\nto join\nto separate",,
युच्छ्,yuchchh,"to err, \nto be negligent",,
युध्,yudh,"to fight, \nto contend with",A,4
युज्,yuj,"to bind, \nto restrain\nto join, \nto unite, \nto apply, \nto use, \nto meditate, \nto concentrate the mind, \nto prepare, \nto grant, \nto intend\nto meditate, \nto curb one’s mind, \nto concentrate the mind\nto unite, \nto bind, \nto yoke",,
युङ्ग्,yung,"to abandon, \nto desert",,
युप्,yup,to confuse,,
युष्,yush,"to injure, hurt or kill\nto serve",,
युत्,yut,to shine,,
