#,Dhatu Name,English,IPA,Dhatu Meaning
392,गुध्,gudh,ɡud̤,to be angryto coverto play
393,गुह्,guh,ɡuɦ,to coverto hide
394,गुज्,guj,ɡud͡ʒ,"to hum or buzzto hum or buzz, to sound inarticulatelyto sound"
395,गुण्,gun,ɡuɳ,"to invite, to advise, to multiply"
396,गुण्ड्,gund,ɡuɳɖ,"to enclose, to protect, to poundto envelope, to protect, to pound"
397,गुन्द्,gund,ɡund,to tell a lie
398,गुण्ठ्,gunth,ɡuɳʈʰ,"to enclose, to envelopto encloseto envelope"
399,गुप्,gup,ɡup,"to be confused or disturbedto censureto despise, to hideto protect, to concealto speak, to conceal, to shine"
400,गुफ्,guph,ɡupʰ,to string together
401,गुर्,gur,ɡur,"to kill, to goto make an effort"
402,गूर्,gur,ɡuːr,to make an effort
403,गुर्द्,gurd,ɡurd,to dwell
404,गूर्द्,gurd,ɡuːrd,to praise
405,गुर्व्,gurv,ɡurv,"to endeavour, to elevate"
406,हा,ha,ɦaː,"to abandon, to leave, to desert, to omit, to neglectto go, to aggainto go, to attain"
407,हद्,had,ɦəd,to void or discharge excrement
408,हाद्,had,ɦaːd,"to sound, to row"
409,हग्,hag,ɦəɡ,"to cover, to conceal"
410,हल्,hal,ɦəl,"to express amorous inclinationsto plough, to make furrows, to goto shake, to go"
411,हम्म्,hamm,ɦəmm,"to go, to move"
412,हन्,han,ɦən,"to kill, to go"
413,हर्य्,hary,ɦərj,"to go, to shine"
414,हस्,has,ɦəs,"to laugh, to smile, to joke, to open, to resemble, to ridiculeto sound, to become small"
415,हट्,hat,ɦəʈ,to shine
416,हठ्,hath,ɦəʈʰ,"to leap, to be wicked, to treat with violence"
417,हेड्,hed,ɦeɖ,"to disrgardto surround, to clothe"
418,हेष्,hesh,ɦeʂ,"to brayto roar,  to neigh"
419,हेट्,het,ɦeʈ,"to be wicked, to vex"
420,हेठ्,heth,ɦeʈʰ,"to be wicked, to vex, to hinder"
421,हि,hi,ɦi,to goto grow
422,हीछ्,hichh,ɦiːt͡ʃʰ,"to be ashamed or modest, to blush"
423,हिड्,hid,ɦiɖ,"to go, to wander, to disregard"
424,हिक्क्,hikk,ɦikk,"to injure, to killto make any indistinct sound"
425,हिंस्,hins,ɦins,to killto kill
426,हिन्व्,hinv,ɦinv,"to please, to satisfy"
427,हिष्क्,hishk,ɦiʂk,"to injure, to kill"
428,हिट्,hit,ɦiʈ,"to curse, to swear, to shout"
429,हिठ,hitha,ɦiʈʰ,"to be born again, to come forth"
430,ह्लाद्,hlad,ɦlaːd,"to sound, to be glad"
431,ह्लग्,hlag,ɦləɡ,"to cover, to conceal"
432,ह्लस्,hlas,ɦləs,to sound
433,ह्नु,hnu,ɦnu,"to conceal, to take away, to deny"
434,ह्Oड्,hod,ɦoɖ,"to disregardto go, to move"
435,ह्रेष्,hresh,ɦreʂ,"to neigh , to go, to creep"
436,हृ,hri,ɦr̩,"to take forciblyto carry, to bring, to take, to steal, to acquire, to captivate, to charm"
437,हृष्,hrish,ɦr̩ʂ,"to rejoice, to exult, to stand erect as hairto tell a lie"
438,हु,hu,ɦu,"to sacrifice, to eat, to please"
439,हुड्,hud,ɦuɖ,to collectto go
440,हूड्,hud,ɦuːɖ,to go
441,हुल्,hul,ɦul,to go
442,हुण्ड्,hund,ɦuɳɖ,"to collect, to select, to take away"
443,हुर्छ्,hurchh,ɦurt͡ʃʰ,"to be crooked, to deceive"
444,ह्वल्,hval,ɦvəl,"to move, to shake, to be confused, to be afflicted"
445,ह्वे,hve,ɦve,"to vie with, to challenge, to call, to ask, to invoke"
446,ह्वृ,hvri,ɦvr̩,"to be crooked, to deceive"
447,इ,i,i,"to goto goto studyto think of, to remember"
448,ई,i,iː,"to go, to pervade, to conceive, to desire, to throw, to eatto goto go"
449,ईड्,id,iːɖ,to praiseto praise
450,ईज्,ij,iːd͡ʒ,"to goto censure, to blame"
451,इख्,ikh,ikʰ,"to go, to move"
452,ईख्,ikh,iːkʰ,to go
453,ईक्ष्,iksh,iːkʂ,to see
454,इल्,il,il,"to send, to castto sleep, to throw"
455,ईन्,in,iːn,"to endeavour, to obtain, to aim at, to wish"
456,इन्ध्,indh,ind̤,"to shine, to kindle"
457,इङ्ग्,ing,iŋɡ,"to go, to move"
458,इङ्ख्,inkh,iŋkʰ,"to go, to move"
459,इण्ट्,int,iɳʈ,"to have superhuman faculties, to be powerful"
460,इन्व्,inv,inv,to pervadeto pleaseto be satisfied
461,ईर्,ir,iːr,"to goto go, to shaketo throw, to pronounce"
462,ईर्ष्य्,irshy,iːrʂj,to envy
463,इष्,ish,iʂ,to goto repeatto wish
464,ईश्,ish,iːʃ,"to rule, to command, to possess powder"
465,ईष्,ish,iːʂ,"to escape, to kill, to seeto glean"
466,इट्,it,iʈ,to go
467,जा,ja,d͡ʒaː,"to command, to directto knowto ascertainto recognizeto consider"
468,जभ्,jabh,d͡ʒəb̤,"to yawn, to gape"
469,जड्,jad,d͡ʒəɖ,to heap
470,जागृ,jagri,d͡ʒaːɡr̩,to be awake or watchful
471,जै,jai,d͡ʒæː,to decay
472,जज्,jaj,d͡ʒəd͡ʒ,to fightto fight
473,जक्ष्,jaksh,d͡ʒəkʂ,"to eat, to consume, to laugh"
474,जल्,jal,d͡ʒəl,"to coverto strike, to be rich, to hideto encircle, to be sharpto be cold, stiff, dull, or dumb"
475,जल्प्,jalp,d͡ʒəlp,"to speak, to prattle, to babble, to murmur, to chatter, to praise"
476,जम्,jam,d͡ʒəm,to eat
477,जम्भ्,jambh,d͡ʒəmb̤,to destroy
478,जम्म्,jamm,d͡ʒəmm,to destroy
479,जन्,jan,d͡ʒən,"to be bornto be born, to grow, to become"
480,जंस्,jans,d͡ʒəns,"to protect, to releaseto protect, to release"
481,जप्,jap,d͡ʒəp,"to know, to cause to know, to see, to pleaseto mutter, to mediate"
482,जर्च्,jarch,d͡ʒərt͡ʃ,"to speak, to blame"
483,जर्ज्,jarj,d͡ʒərd͡ʒ,to sayto blameto killto reprove
484,जस्,jas,d͡ʒəs,"to hurt, to striketo injure, to striketo set free"
485,जष्,jash,d͡ʒəʂ,to kill
486,जट्,jat,d͡ʒəʈ,to become matted
487,जेह्,jeh,d͡ʒeɦ,"to try, to go"
488,जेष्,jesh,d͡ʒeʂ,to go
489,झम्,jham,d͡ʒ̤əm,to eatto consume
490,झर्झ्,jharjh,d͡ʒ̤ərd͡ʒ̤,"to speakto blameto menaceto speakto hurt, injure or killto menace"
491,झष्,jhash,d͡ʒ̤əʂ,"to hurt, injure or killto take, to put on or wear"
492,झट्,jhat,d͡ʒ̤əʈ,"to become matted together , to become confused or entangled"
493,झृ,jhri,d͡ʒ̤r̩,to become oldto decayto grow old
494,जि,ji,d͡ʒi,"to conquerto overcometo surpass, to win, to restrain"
495,जिम्,jim,d͡ʒim,to eat
496,जिन्व्,jinv,d͡ʒinv,"to pleaseto be lively, active, busyto exciseto animate, to promote, conferto speak"
497,जिष्,jish,d͡ʒiʂ,to sprinkle
498,जीव्,jiv,d͡ʒiːv,"to live, to revive, to live upon"
499,जृ,jri,d͡ʒr̩,"to grow old, to decay, to perish, to be digestedto grow old, to decayto grow old, to waste awayto decayto grow old, to waste awayto decay"
500,ज्रि,jri,d͡ʒri,"to conquerto defeat, to grow oldto grow old, to decay"
501,जु,ju,d͡ʒu,"to go, to be quick"
502,जुड्,jud,d͡ʒuɖ,"to goto send, to direct"
503,जुग्,jug,d͡ʒuɡ,to abandonto exclude
504,जुम्भ्,jumbh,d͡ʒumb̤,"to gapeto yawnto expandto opento spreadto increase, appear, to rise"
505,जूर्,jur,d͡ʒuːr,"to kill, to grow old, to be angry"
506,जुष्,jush,d͡ʒuʂ,"to pleaseto liketo take delight into sufferto enterto reasonto investigateto be satisfiedto hurtto think, to examine, to be satisfied"
507,जुत्,jut,d͡ʒut,to shine
508,ज्वल्,jval,d͡ʒvəl,to blazeto glowto shine
509,ज्वर्,jvar,d͡ʒvər,to be hot with fever or passionto be ill
510,ज्या,jya,d͡ʒjaː,"to become old, to decay"
511,ज्यु,jyu,d͡ʒju,to go
512,कब्,kab,kəb,to colour
513,कच्,kach,kət͡ʃ,to bindto cryto shineto bind
514,काच्,kach,kaːt͡ʃ,to shineto bind
515,कड्,kad,kəɖ,to be confusedto be proud
516,कद्,kad,kəd,"to be confounded, to grieve"
517,कड्ड्,kadd,kəɖɖ,to be harsh or rough
518,कग्,kag,kəɡ,to perform or do anything or act
519,कै,kai,kæː,to sound
520,कक्,kak,kək,to wishto be proudto be unsteadyto be thirsty
521,कख्,kakh,kəkʰ,toto
522,कल्,kal,kəl,"to go, to count, to hold, to know, to regardto soundto countto throw"
523,काल्,kal,kaːl,to count the time
524,कल्ल्,kall,kəll,to sound indistinctly
525,कम्,kam,kəm,"to love, to long forto have intercourse withto value highly"
526,कम्ब्,kamb,kəmb,to go
527,कम्प्,kamp,kəmp,to shake or tremble
528,कण्,kan,kəɳ,to cry or bewailto go or approachto wink
529,कन्,kan,kən,to shineto loveto wishto go
530,कण्ड्,kand,kəɳɖ,"to be proudto be proudto unhuskto separate the chaff from the grain, to protect"
531,कन्द्,kand,kənd,to be confoundedto grieveto callto shed tears
532,कङ्क्,kank,kəŋk,to go
533,काङ्क्ष्,kanksh,kaːŋkʂ,to desire or long for
534,कंस्,kans,kəns,"to go, to destroy"
535,कण्ठ्,kanth,kəɳʈʰ,"to be anxious, to remember with regretto grive for, to miss"
536,कर्ब्,karb,kərb,to go or approach
537,कर्द्,kard,kərd,to rumbleto caw
538,कर्ज्,karj,kərd͡ʒ,to pain
539,कर्ण्,karn,kərɳ,to bore
540,कर्त्,kart,kərt,to slacken
541,कर्व्,karv,kərv,"to be proud, to boast"
542,कस्,kas,kəs,to go
543,कास्,kas,kaːs,to cough
544,कश्,kash,kəʃ,"to go, to punishto sound"
545,कष्,kash,kəʂ,to kill or injureto try on a touchstoneto rub
546,काश्,kash,kaːʃ,to shineto shine
547,कट्,kat,kəʈ,to goto go or approachto rainto cover or to surround
548,कठ्,kath,kəʈʰ,"to drag on the days of life, to live in distress"
549,कथ्,kath,kətʰ,to tell
550,कत्र्,katr,kətr,to slacken
551,कत्थ्,katth,kəttʰ,to praiseto boastto flatter
552,कव्,kav,kəv,"to praiseto describe, to compose a poem"
553,केल्,kel,kel,to shaketo sport
554,केप्,kep,kep,to shake or tremble
555,केत्,ket,ket,"to make hear, to call, to advise"
556,खब्,khab,kʰəb,to go
557,खच्,khach,kʰət͡ʃ,"to be born againto come forthto fasten, to set"
558,खद्,khad,kʰəd,"to be firm, to kill"
559,खाद्,khad,kʰaːd,to eatto devour
560,खढ्,khadh,kʰəɖ̤,to break in pieces
561,खै,khai,kʰæː,to striketo be firm
562,खज्,khaj,kʰəd͡ʒ,to churnto agitateto limp
563,खक्ख्,khakkh,kʰəkkʰ,to laugh at
564,खन्,khan,kʰən,to dig up
565,खण्ड्,khand,kʰəɳɖ,"khuṅḍ to break in piecesto break, to cut, to tear to pieces"
566,खर्ब्,kharb,kʰərb,to go
567,खर्द्,khard,kʰərd,"to bite, to sting"
568,खर्ज्,kharj,kʰərd͡ʒ,to painto worship
569,खर्व्,kharv,kʰərv,to proud or haughty
570,खष्,khash,kʰəʂ,"to injure, hurt or kill"
571,खट्,khat,kʰəʈ,to desire
572,खट्ट्,khatt,kʰəʈʈ,"to cover, to screen"
573,खेल्,khel,kʰel,to shaketo trembleto play
574,खेट्,khet,kʰeʈ,to eat
575,खेव्,khev,kʰev,to serve
576,खिद्,khid,kʰid,to be displeased or distressedto be distresedto striketo afflictto be displeased
577,खिल्,khil,kʰil,to glean
578,खिट्,khit,kʰiʈ,"to fear, to frighten"
579,ख्Oट्,khot,kʰoʈ,"to throw, to eatto limp, to be lame"
580,खु,khu,kʰu,to sound
581,खुड्,khud,kʰuɖ,to cover
582,खुज्,khuj,kʰud͡ʒ,to robto steal
583,खुण्ड्,khund,kʰuɳɖ,to limpto break into pieces
584,खुर्,khur,kʰur,to cut
585,खुर्द्,khurd,kʰurd,to play
586,ख्या,khya,kʰjaː,"to relate, to tell"
587,कि,ki,ki,to know
588,किल्,kil,kil,to become whiteto sportto send
589,कील्,kil,kiːl,to bindto fit
590,किष्क्,kishk,kiʂk,to kill
591,किट्,kit,kiʈ,to fearto frightento go or approach
592,कित्,kit,kit,to desireto dwellto liveto heal or cureto doubt
593,कीट्,kit,kiːʈ,"to tinge, to colour"
594,क्लद्,klad,kləd,to make defective
595,क्लम्,klam,kləm,to be fatiguedto be fatigued
596,क्लन्द्,kland,klənd,to call outto cry
597,क्लप्,klap,kləp,to whisper
598,क्लथ्,klath,klətʰ,to hurt or killto kill
599,क्लेश्,klesh,kleʃ,to speak inarticulatelyto impede
600,क्लेव्,klev,klev,to serve
601,क्लीब्,klib,kliːb,to behave like a eunuchto be timorous or modest or unassuming
602,क्लिद्,klid,klid,to become wet
603,क्लिन्द्,klind,klind,to lament
604,क्लिश्,klish,kliʃ,"to be afflictedto tormentto torment, to distress"
605,क्लु,klu,klu,to go
606,क्लुप्,klup,klup,to be fit forto be able
607,क्मर्,kmar,kmər,to be crooked
608,क्नस्,knas,knəs,"to be crooked in mind or body, to shine"
609,क्नथ्,knath,knətʰ,"to hurt, to injure, to killto kill"
610,क्नू,knu,knuː,to sound
611,क्नूय्,knuy,knuːj,to make a creaking soundto be wetto sink
612,क्रद्,krad,krəd,"to be confounded, to grieve"
613,क्रम्,kram,krəm,"to walkto stepto go, to crossto leapto ascend"
614,क्रन्द्,krand,krənd,to call outto cryto cry out continuallyto lamentto grieve
615,क्रप्,krap,krəp,to pityto go
616,क्रथ्,krath,krətʰ,"to injure, hurt or kill"
617,कृ,kri,kr̩,"to do, to maketo kill, to hurtto killto scatterto throw"
618,क्री,kri,kriː,to buy
619,कृड्,krid,kr̩ɖ,to become thick
620,क्रीड्,krid,kriːɖ,to amuse oneselfto playto gambleto make a noise or creak or break
621,कृन्त्,krint,kr̩nt,to surround
622,कृप्,krip,kr̩p,to be able
623,कृश्,krish,kr̩ʃ,to make or become emaciated
624,कृष्,krish,kr̩ʂ,"to draw, to ploughto drawto plough"
625,कृत्,krit,kr̩t,"to cutto mention, to celebrate"
626,क्रुच्,kruch,krut͡ʃ,to make crookedto bend or curveto lessen
627,क्रुध्,krudh,krud̤,to be angry
628,क्रुश्,krush,kruʃ,to call outto cry
629,क्षद्,kshad,kʂəd,"to cut, to protect, to eat"
630,क्षै,kshai,kʂæː,"to wane, to declineto decay, to waste away"
631,क्षज्,kshaj,kʂəd͡ʒ,"to go, to giveto killto live in distress"
632,क्षल्,kshal,kʂəl,"to wash, to cleanse"
633,क्षम्,ksham,kʂəm,to endureto forgiveto forgiveto sufferto allowto put up withto resistto be able to do anything
634,क्षम्प्,kshamp,kʂəmp,"to endure, to forgiveto forgive or endure"
635,क्षण्,kshan,kʂəɳ,"to wound, to hurt, to kill"
636,क्षप्,kshap,kʂəp,"to throw, to cast"
637,क्षर्,kshar,kʂər,"to flowto oozeto waneto become useless, to melt"
638,क्षेड्,kshed,kʂeɖ,to eat
639,क्षेव्,kshev,kʂev,to spit out
640,क्षि,kshi,kʂi,"to killto decayto wane, to wasteto dwellto go"
641,क्षी,kshi,kʂiː,to killto kill
642,क्षीब्,kshib,kʂiːb,to be drunk or intoxicated
643,क्षीज्,kshij,kʂiːd͡ʒ,to speak inarticulately
644,क्षिण्,kshin,kʂiɳ,"to kill, to hurt"
645,क्षिप्,kship,kʂip,to throwto throw
646,क्षिट्,kshit,kʂiʈ,to make an inarticulate sound
647,क्षिव्,kshiv,kʂiv,to eject from the mouthto vomitto spit outto spit
648,क्षीव्,kshiv,kʂiːv,to be drunk or intoxicatedto spit out
649,क्ष्माय्,kshmay,kʂmaːj,to trembleto shake
650,क्ष्मील्,kshmil,kʂmiːl,to wink
651,क्ष्णु,kshnu,kʂɳu,to whet
652,क्ष्Oट्,kshot,kʂoʈ,"to throw, to cast"
653,क्षु,kshu,kʂu,to sneeze
654,क्षुभ्,kshubh,kʂub̤,"to be agitated, to shaketo be agitatedto disturbto trembleto agitate"
655,क्षुद्,kshud,kʂud,"to goto pound, to crush"
656,क्षुध्,kshudh,kʂud̤,to be hungry
657,क्षुम्प्,kshump,kʂump,to go
658,क्षुप्,kshup,kʂup,to be intoxicated
659,क्षुर्,kshur,kʂur,to scratch
660,क्ष्वेल्,kshvel,kʂvel,"to leap, to moveto shake"
661,क्ष्विड्,kshvid,kʂviɖ,"to melt, to dischargeto be wet or unctuousto discharge juice, to emit sap"
662,क्ष्विद्,kshvid,kʂvid,to be wet
663,कु,ku,ku,to humto moanto sound
664,कू,ku,kuː,to soundto soundto groan
665,कुभ्,kubh,kub̤,to wet
666,कुच्,kuch,kut͡ʃ,"to contractto shrinkto be crookedto make crookedto bend, or curveto lessento utter a shrill cryto contractto bendto be crookedto impedeto write or delineate"
667,कुड्,kud,kuɖ,to act as a childto heapto sinkto become thick
668,कुद्,kud,kud,to tell a lie
669,कूड्,kud,kuːɖ,to become firmto eat
670,कुद्र्,kudr,kudr,to tell a lie
671,कुह्,kuh,kuɦ,"to surprise, to deceive"
672,कुज्,kuj,kud͡ʒ,"to make any inarticulate sound, to humto cooto warbleto protectto steal"
673,कुक्,kuk,kuk,to taketo acceptto seize
674,कुल्,kul,kul,to collectto be related or to behave as a kinsmanto proceed uninterruptedlyto reckon
675,कुमार्,kumar,kumaːr,to play
676,कुम्ब्,kumb,kumb,to cover
677,कुम्भ्,kumbh,kumb̤,to cover
678,कुम्प्,kump,kump,"kumbh to cover, to dressto coverto dress"
679,कुण्,kun,kuɳ,to inviteto soundto support with gifts
680,कूण्,kun,kuːɳ,"to speak, to hold a consultation"
681,कुण्ड्,kund,kuɳɖ,to burnto maim or mutilate
682,कुंस्,kuns,kuns,to speakto speak
683,कुंश्,kunsh,kunʃ,to shineto shine
684,कुण्ट्,kunt,kuɳʈ,to be lameto cover
685,कुण्ठ्,kunth,kuɳʈʰ,to be mutilated or bluntedto loosento be dull or stupid or idle
686,कुन्थ्,kunth,kuntʰ,to hurtto suffer pain
687,कुप्,kup,kup,"to be angryto speak, to shine"
688,कुर्,kur,kur,to sound
689,कुर्द्,kurd,kurd,to play
690,कुस्,kus,kus,"to embrace, to surround"
691,कुष्,kush,kuʂ,"to draw out, to extract, to tear, to expel"
692,कुस्म्,kusm,kusm,to smile improperly
693,कुट्,kut,kuʈ,"to be crooked, to bendto break into piecesto break to piecesto cut"
694,कुत्,kut,kut,to cover
695,कूट्,kut,kuːʈ,"to avoid givingto render indistinct or unintelligibleto burn, to give pain"
696,कुथ्,kuth,kutʰ,"to cling to, to hurtto become putridto kill"
697,कुत्स्,kuts,kuts,"to despise, to blame"
698,कुट्ट्,kutt,kuʈʈ,"to boilto cut, to censure"
699,कुटुम्ब्,kutumb,kuʈumb,to support
700,क्वण्,kvan,kvəɳ,to jingleto tinkleto humto warble
701,क्वथ्,kvath,kvətʰ,to boilto decoctto digest
702,ला,la,laː,to taketo giveto melt
703,लभ्,labh,ləb̤,"to get, to obtain, to take, to have to find, to be able, to know"
704,लाभ्,labh,laːb̤,"to throw, to direct"
705,लच्छ्,lachchh,lət͡ʃt͡ʃʰ,to mark
706,लाछ्,lachh,laːt͡ʃʰ,to markto distinguish
707,लड्,lad,ləɖ,"to loll the tongue, to churnto blame, to harassto play"
708,लग्,lag,ləɡ,"to adhere to, to become united, to come in contact, to happen, to approach, to touch, to produce an effectto taste, to obtain"
709,लाघ्,lagh,laːɡ̤,to be able
710,लैण्,lain,læːɳ,to goto approachto embraceto send
711,लज्,laj,ləd͡ʒ,"to be ashamedto be bashfulto fry, to roastto fry, to roast, to blame, to traduceto injure, to be strong, to take, to dwell, to speak, to shine, to be manifest"
712,लाज्,laj,laːd͡ʒ,"to blame, to fry"
713,लख्,lakh,ləkʰ,"to go or moveto go, to move"
714,लाख्,lakh,laːkʰ,"to dryto adorn, to suffice"
715,लक्ष्,laksh,ləkʂ,"to observe, to markto see, to look at"
716,लल्,lal,ləl,"to desire, to seekto play"
717,लम्ब्,lamb,ləmb,"to sound, to delay, to fall, to hang down"
718,लण्ड्,land,ləɳɖ,"to speak, to shineto speak, to shineto throw upto throw up"
719,लङ्ग्,lang,ləŋɡ,"to go, to limp"
720,लङ्घ्,langh,ləŋɡ̤,"to dry up, to diminish, to mount uponto go, to fast, to transgressto speak, to shine, to transgress"
721,लप्,lap,ləp,"to speak, to prate, to whisper"
722,लर्ब्,larb,lərb,"to go, to move"
723,लस्,las,ləs,"to embrace, to play, to shine"
724,लश्,lash,ləʃ,"to exercise an art, to do anything scientifically"
725,लष्,lash,ləʂ,"to wish, to long for"
726,लट्,lat,ləʈ,"to be a child, to act or talk like a child, to cry"
727,लट्ट्,latt,ləʈʈ,"to fondle, to caress"
728,लय्,lay,ləj,"to go, to move"
729,लेप्,lep,lep,to goto move
730,ल्हप्,lhap,lɦəp,"to speak, to sound"
731,ली,li,liː,"to adhere to, to be absorbed, to be dissolved, to hide in, to rest on, to disappearto adhere toto meltto be absorbed into meltto melt"
732,लिह्,lih,liɦ,to lickto taste
733,लिख्,likh,likʰ,"to write, to scratch, to draw, to touch, to peck"
734,लिङ्ग्,ling,liŋɡ,"to goto moveto paint, to variegate"
735,लिप्,lip,lip,"to anoint, to besmear, to cover, to spread over, to stain, to pollute"
736,लिश्,lish,liʃ,"to decrease, to become smallto go, to move"
737,ल्Oच्,loch,lot͡ʃ,"to see, to perceive"
738,ल्Oड्,lod,loɖ,to be mad
739,ल्Oक्,lok,lok,"to seeto perceiveto speak, to shine"
740,ल्Oष्ट्,losht,loʂʈ,to heap up
741,लू,lu,luː,to cutto pluckto divideto destroy
742,लुभ्,lubh,lub̤,"to confound, to disturbto covet, to long for, to allure"
743,लुच्,luch,lut͡ʃ,to removeto pluck
744,लुड्,lud,luɖ,to churnto stirto disturb
745,लुज्,luj,lud͡ʒ,"to injure, to be strong, to take, to dwell, to speak, to shineto injureto be strongto taketo dwellto speakto shine"
746,लुल्,lul,lul,to move to and froto stirto make tremulous
747,लुम्ब्,lumb,lumb,"to be invisible, to tormentto torment"
748,लुण्ड्,lund,luɳɖ,to steal or rob
749,लुण्ट्,lunt,luɳʈ,to robto plunderto be idleto resistto be lame
750,लुण्ठ्,lunth,luɳʈʰ,"to steal, to plunder"
751,लुन्थ्,lunth,luntʰ,"to strike, to suffer pain"
752,लुप्,lup,lup,"to be confused, to vanishto cut, to break. to rob, to plunder, to seize, to suppress"
753,लुष्,lush,luʂ,"to injure, to hurt"
754,लूष्,lush,luːʂ,to decorate
755,लुट्,lut,luʈ,"to resistto opposeto wallow, to roll about, to jointo churn, to agitate, to roll, to wallow, to be connected withto churnto agitateto be connectedto wallowto rollto speak, to shine"
756,लुठ्,luth,luʈʰ,"to strike, to knock down"
757,मा,ma,maː,"to measureto measure, to weigh, to limit, to compare in sizeto measureto limitto shineto appearto be"
758,मभ्र्,mabhr,məb̤r,to go
759,मच्,mach,mət͡ʃ,"to cheat, to boast, to poundto hold, to grow high, to adore"
760,मद्,mad,məd,"to bindto killto gratify, to pleaseto rejoice, to be poor or distressed, to be intoxicated or mad"
761,मह्,mah,məɦ,to worshipto worshipto revere
762,माह्,mah,maːɦ,to measure
763,मज्,maj,məd͡ʒ,"to be mad, to soundto sound"
764,मख्,makh,məkʰ,to go
765,मक्ष्,maksh,məkʂ,to collect
766,मल्,mal,məl,to holdto possess
767,मण्,man,məɳ,"to sound, to murmur"
768,मन्,man,mən,"to be proud, to stopto know, to thinkto think, to suppose, to regard as, to esteem, to honour, to know"
769,मान्,man,maːn,"to investigateto examineto stop, to be proudto worship"
770,मण्ड्,mand,məɳɖ,"to adornto adorn oneselfto divide, to clotheto surround"
771,मन्द्,mand,mənd,to praiseto be gladto proudto sleepto shineto move slowly
772,मङ्घ्,mangh,məŋɡ̤,"to adorn, to decorateto go, to blame, to be moving, to cheat"
773,मंह्,manh,mənɦ,"to grow oldto speak, to shine"
774,मङ्क्,mank,məŋk,"to adorn, to decorate"
775,मङ्ख्,mankh,məŋkʰ,to go
776,मांक्ष्,manksh,maːŋkʂ,to desireto wish
777,मण्ठ्,manth,məɳʈʰ,to remember with regretto grieve for
778,मन्थ्,manth,məntʰ,"to churn, to shake, to destroy, to afflictto churn, to stirto churn, to stirto shaketo killto crushto tear offto killto injureto be afflictedto suffer pain"
