#,Dhatu Name,English,IPA,Dhatu Meaning
1160,श्रथ्,shrath,ʃrətʰ,"to be weakto killto liberate, to killto make effort, to set out"
1161,शृ,shri,ʃr̩,"to tear asunder, to split in pieces, to hurt, to kill"
1162,श्रि,shri,ʃri,"to serve, to depend upon"
1163,श्री,shri,ʃriː,"to cook, to dress"
1164,शृध्,shridh,ʃr̩d̤,"to break windto insult, to mock atto moisten, to wet, to cut off"
1165,श्रिस्,shris,ʃris,to burn
1166,शृष्,shrish,ʃr̩ʂ,to bring forth
1167,श्र्Oण्,shron,ʃroɳ,"to heap together, to collect"
1168,श्रु,shru,ʃru,"to go, to move"
1169,ष्ठिव्,shthiv,ʂʈʰiv,spit
1170,शुभ्,shubh,ʃub̤,"to shineto speak, to shine, to killto shine, to look beautiful"
1171,शुच्,shuch,ʃut͡ʃ,"to be wet, to be cleanto regret, to grive for, to bewail"
1172,शुच्य,shuchya,ʃut͡ʃjə,"to perform ablution, to squeeze out juice, to distil"
1173,शुध्,shudh,ʃud̤,"to become pure, to be made clear"
1174,शूल्,shul,ʃuːl,"to be ill, to collect"
1175,शुल्क्,shulk,ʃulk,"to leave, to forsake, to pay, to give, to give, to gain"
1176,शुन्,shun,ʃun,to go
1177,शुन्ध्,shundh,ʃund̤,"to purifyto purify, to make clean"
1178,शुण्ठ्,shunth,ʃuɳʈʰ,"to dry, to become dry"
1179,शूप्,shup,ʃuːp,to measure
1180,शूर्,shur,ʃuːr,"to be powerful, to be valiantto strike, to be firm"
1181,शुष्,shush,ʃuʂ,"to become dry, to be withered"
1182,शुट्,shut,ʃuʈ,"to resist, to go lame"
1183,शुठ्,shuth,ʃuʈʰ,to be lazy
1184,श्वभ्,shvabh,ʃvəb̤,"to go, to move"
1185,श्वल्,shval,ʃvəl,to run
1186,श्वल्क्,shvalk,ʃvəlk,"to tell, to narrate"
1187,श्वङ्क्,shvank,ʃvəŋk,śvac to go
1188,श्वस्,shvas,ʃvəs,"to breath, to sigh, to hiss"
1189,ष्वष्क्,shvashk,ʂvəʂk,to go
1190,श्वठ्,shvath,ʃvəʈʰ,"śvaṅṭh to leave unfinished, to goto speak ill or well"
1191,श्वि,shvi,ʃvi,"to move, to increase, to grow, to swell"
1192,श्विन्द्,shvind,ʃvind,to be white
1193,श्वित्,shvit,ʃvit,to be white
1194,श्यै,shyai,ʃjæː,"to go, to move, to witherto dry up"
1195,सि,si,si,"to tieto tie, to bind"
1196,सिभ्,sibh,sib̤,to kill
1197,सिच्,sich,sit͡ʃ,"to sprinkle, to moisten, to scatter"
1198,सिध्,sidh,sid̤,"to be accomplished, to succeed, to be thoroughly preparedto goto ordain, to instruct, to do an auspicious act, to turn out auspiciously, to ward off, to restrain, to interdict"
1199,सीक्,sik,siːk,to sprinkle
1200,सिल्,sil,sil,to glean
1201,सिम्भ्,simbh,simb̤,to kill
1202,सिन्व्,sinv,sinv,to sprinkle
1203,सिट्,sit,siʈ,to disregard
1204,सिव्,siv,siv,"to sew, to sow"
1205,स्कम्भ्,skambh,skəmb̤,"to obstructto obstruct, to stop"
1206,स्कन्द्,skand,skənd,"to go, to be dry"
1207,स्खद्,skhad,skʰəd,"to destroy, to cut"
1208,स्खल्,skhal,skʰəl,"to stumble, to totter, to deviate, to blunder, to err, to stammer, to drop"
1209,स्कु,sku,sku,"to go by leaps, to cover, to raise"
1210,स्कुम्भ्,skumbh,skumb̤,"to hinder, to hold"
1211,स्कुन्द्,skund,skund,"to jump, to raise, to lift"
1212,स्मि,smi,smi,"to smile, to expand, to bloom"
1213,स्मील,smila,smiːl,to wink
1214,स्मिट्,smit,smiʈ,"to disrespect, to slight, to despise"
1215,स्मृ,smri,smr̩,"to rememberto recollectto long for, to regretto remember, to recollect, to think upon, to recite mentally, to record in a smriti"
1216,स्ना,sna,snaː,to bathe
1217,स्नै,snai,snæː,"to cover, to wrap, to adorn"
1218,स्नस्,snas,snəs,"to reject, to eject"
1219,स्निह्,snih,sniɦ,"to feel affection for, to love, to be kind toto love, to account, to dissolve"
1220,स्निव्,sniv,sniv,"to go, to dry"
1221,स्नु,snu,snu,to ooze
1222,स्नुह्,snuh,snuɦ,to vomit
1223,स्नुस्,snus,snus,"to eat, to take, to disappear"
1224,स्O,so,so,"to put an end to, to kill, to finish"
1225,स्पर्ध्,spardh,spərd̤,"to contend with, to vie with, to emulate, to challenge"
1226,स्पश्,spash,spəʃ,"to obstruct, to touch, to perceive clearly, to undertake, to string togetherto take, to embrace"
1227,स्फर्,sphar,spʰər,"to tremble, to move"
1228,स्फाय्,sphay,spʰaːj,"to grow fat, to increase, to expand"
1229,स्फिट्,sphit,spʰiʈ,to feel affection for
1230,स्फिट्ट्,sphitt,spʰiʈʈ,to kill
1231,स्फुड्,sphud,spʰuɖ,to cover
1232,स्फुल्,sphul,spʰul,"to tremble, to throb"
1233,स्फुण्ट्,sphunt,spʰuɳʈ,"to laugh at, to joketo open, to expand"
1234,स्फुर्,sphur,spʰur,"to throb, to palpitate, to become agitated, to start, to appear clearly, to flash"
1235,स्फुर्च्छ्,sphurchchh,spʰurt͡ʃt͡ʃʰ,"to spreak, to extend, to forget"
1236,स्फूर्ज्,sphurj,spʰuːrd͡ʒ,"to thunder, to explode, to glitter, to burst"
1237,स्फुट्,sphut,spʰuʈ,"to blow, to blossom, to breakto burst, to break opento burstto blossomto blowto split open"
1238,स्पृ,spri,spr̩,"to gratify, to defend, to shake"
1239,स्पृह्,sprih,spr̩ɦ,"to wish, to envy"
1240,स्पृश्,sprish,spr̩ʃ,"to touch, to cling to, to act uponto affect, to accept, to reach, to wash"
1241,स्रम्भ्,srambh,srəmb̤,to errto entrust
1242,स्रङ्क्,srank,srəŋk,"to go, to move"
1243,स्रंस्,srans,srəns,"to fall down, to drop, to slip offto hang down"
1244,स्रेक्,srek,srek,"to go, to move"
1245,सृ,sri,sr̩,"to goto go, to move, to approach, to slip, to blow, to flowto run"
1246,सृभ्,sribh,sr̩b̤,"to kill, to slay"
1247,सृज्,srij,sr̩d͡ʒ,"to be abandoned, to dropto leave, to create, to let loose, to let off, to throw, to produce, to put on"
1248,सृप्,srip,sr̩p,"to go, to creep"
1249,स्रु,sru,sru,"to go, to flow"
1250,स्तभ्,stabh,stəb̤,"to stop, to support"
1251,स्तग्,stag,stəɡ,cover
1252,स्तै,stai,stæː,"to cover, to adorn"
1253,स्तक्,stak,stək,"to resist, to repel"
1254,स्तक्ष्,staksh,stəkʂ,"to go, to move"
1255,स्तम्,stam,stəm,"to be confused, not to be confused"
1256,स्तम्भ्,stambh,stəmb̤,"to stop, to hinder, to become stiff or naughty, to paralyze, to fix firmly"
1257,स्तन्,stan,stən,"to sound, to thunderto thunder"
1258,स्तेन्,sten,sten,to steal
1259,स्तेप्,step,step,to ooze
1260,स्था,stha,stʰaː,"to stand, to stay, to be"
1261,स्थग्,sthag,stʰəɡ,"to cover, to conceal"
1262,स्थल्,sthal,stʰəl,to stand firm
1263,स्थिघ्,sthigh,stʰiɡ̤,to ascendto assail
1264,स्थुड्,sthud,stʰuɖ,"to cover, to hide"
1265,स्थूल्,sthul,stʰuːl,"to become stout, to grow fat"
1266,स्तिम्,stim,stim,"to become wet, to moist"
1267,स्तिप्,stip,stip,to ooze
1268,स्त्Oम्,stom,stom,to praise
1269,स्तृ,stri,str̩,"to cover, to spread"
1270,स्तृह्,strih,str̩ɦ,"to kill, to hurt, to strike"
1271,स्तु,stu,stu,"to coverto praise, to glorify, to worship by hymns"
1272,स्तुभ्,stubh,stub̤,to stop
1273,स्तुच्,stuch,stut͡ʃ,to be pleased
1274,स्तुक्ष्,stuksh,stukʂ,"to go, to move"
1275,स्तूप्,stup,stuːp,"to collectto pile, to collect, to erect"
1276,स्त्यै,styai,stjæː,"to sound, to collect into a heap, to spread about, to crowd"
1277,सु,su,su,"to bring forth, to possess power or supremacy, to permitto bring forth, to possess supremacy, to permitto cause to bathe: to churnto pour outto batheto press out juiceto distil"
1278,सू,su,suː,"to bring forth as a childto bring forth as a childto impel, to drive, to discharge, to remit"
1279,सुभ्,subh,sub̤,"to speak, to killto speak, to kill"
1280,सूच्,such,suːt͡ʃ,"to betray, to reveal, to show, to ascertainto try, to bind"
1281,सूद्,sud,suːd,"to distil, to strike, to hurt, to destroy, to leak, to depositto strike, to wound, to distil, to deposit"
1282,सुह्,suh,suɦ,to be satisfied
1283,सुख्,sukh,sukʰ,to make happy
1284,सुर्,sur,sur,"to rule, to shine"
1285,सूर्क्ष्,surksh,suːrkʂ,to respect
1286,सूर्क्ष्य,surkshya,suːrkʂjə,"to envy, to despise"
1287,सुट्ट्,sutt,suʈʈ,to disrespect
1288,स्वद्,svad,svəd,"to be pleasant to the taste, to be liked, to taste, to eat, to pleaseto make sweet"
1289,स्वाद्,svad,svaːd,"to tasteto taste, to be pleasing"
1290,स्वज्,svaj,svəd͡ʒ,"to embrace, to clasp, to encircle"
1291,स्वन्,svan,svən,"to deck, to adornto sound, to sing"
1292,स्वप्,svap,svəp,"to sleep, to lie down"
1293,स्वर्,svar,svər,"to blame, to find fault with"
1294,स्वर्द्,svard,svərd,"to taste, to be pleasing"
1295,स्विद्,svid,svid,"to be greedy, to perspire, to be disturbed, to quitto perspire"
1296,स्वृ,svri,svr̩,"to sound, to praise, to pain"
1297,स्यम्,syam,sjəm,"to consider, to thinkto sound, to shout"
1298,स्यन्द्,syand,sjənd,"to ooze, to feelto throb, to quiver"
1299,तच्,tach,tət͡ʃ,"to contract, to shrinkto go"
1300,तड्,tad,təɖ,"to strike, to beat, to play upon a musical instrument, to speak"
1301,तक्,tak,tək,"to laugh atto bear, to fly or rush upon"
1302,तक्ष्,taksh,təkʂ,"to cut offto make thinto wound, to formto eatto pare, to cover"
1303,टल्,tal,ʈəl,to be confused
1304,तल्,tal,təl,"to be full or complete, to fix, to establish"
1305,तम्,tam,təm,"to desire, to be fatigued"
1306,तन्,tan,tən,"to confide in, to assistto confide in, to assistto pain with disease, to be harmless, to soundto spread, to stretch, to do, to spin out"
1307,तण्ड्,tand,təɳɖ,to strike
1308,तन्द्र्,tandr,təndr,"to be exhausted, to be disturbed in mind"
1309,तङ्ग्,tang,təŋɡ,to goto stumbleto tremble
1310,टङ्क्,tank,ʈəŋk,to bindto build
1311,तङ्क्,tank,təŋk,to live in distress
1312,तंस्,tans,təns,"to adorn, to deckto decorateto shake, to pour out, to request"
1313,तन्त्र्,tantr,təntr,"to support, to maintain, to govern"
1314,तप्,tap,təp,"to be powerful, to injure, to perform penanceto heat, to burn, to afflictto shine, to be hotto make hot, to suffer pain, to injure or hurt, to undergo, to perform penance"
1315,तर्द्,tard,tərd,"to injure, to hurt or kill"
1316,तर्ज्,tarj,tərd͡ʒ,"to menace, to censureto threaten, to terrify, to scold, to mock"
1317,तर्क्,tark,tərk,"to shine, to intend, to suppose, to guess, to think of"
1318,तस्,tas,təs,"to fade away, to become exhausted"
1319,तट्,tat,təʈ,"to be raised, to rise, to groan"
1320,टौक्,tauk,ʈɔːk,to go
1321,तय्,tay,təj,to go
1322,ताय्,tay,taːj,"to spread, to protect"
1323,तेज्,tej,ted͡ʒ,to protect
1324,तेप्,tep,tep,"to ooze, to shake"
1325,तेव्,tev,tev,to lamentto play
1326,थुढ्,thudh,tʰuɖ̤,to cover
1327,थुर्व्,thurv,tʰurv,"to injure, hurt or kill"
1328,तिघ्,tigh,tiɡ̤,"to kill, to challenge"
1329,तिज्,tij,tid͡ʒ,"to endure or bear patientlyto whetto whet, to sharpen"
1330,टिक्,tik,ʈik,to go
1331,टीक्,tik,ʈiːk,"to go, to resort to"
1332,तिक्,tik,tik,"to assail, to go, to seek, to injure or kill, to challengeto go or move"
1333,तीक्,tik,tiːk,to go
1334,तिल्,til,til,"to goto oil, to be greasyto oilto anoint"
1335,तिल्ल्,till,till,to go
1336,तिम्,tim,tim,"to be wet, to be moist"
1337,टिप्,tip,ʈip,"to throw, to send"
1338,तिप्,tip,tip,"to drop, to ooze"
1339,तीर्,tir,tiːr,"to finish, to get through"
1340,तीव्,tiv,tiːv,to be strong or fat or corpulent
1341,त्Oड्,tod,toɖ,to disregard
1342,त्रै,trai,træː,to protect
1343,त्रख्,trakh,trəkʰ,to go
1344,त्रन्द्,trand,trənd,to actto tryto be busy or active
1345,त्रङ्क्,trank,trəŋk,to go
1346,त्रङ्ख्,trankh,trəŋkʰ,to go
1347,त्रंस्,trans,trəns,to speakto speakto shine
1348,त्रप्,trap,trəp,to be ashamed or abashedto be embarrassed
1349,त्रस्,tras,trəs,"to fear, to trembleto take, to hold, to oppose"
1350,त्रौक्,trauk,trɔːk,to go
1351,तृ,tri,tr̩,"to swim, to cross over, to float, to surmountto master completely, to fulfil, to escape from"
1352,तृद्,trid,tr̩d,"to kill, to disregard"
1353,तृह्,trih,tr̩ɦ,to killto kill
1354,तृक्ष्,triksh,tr̩kʂ,to go
1355,तृण्,trin,tr̩ɳ,"to eat, to graze"
1356,त्रिंख्,trinkh,triŋkʰ,to go
1357,तृप्,trip,tr̩p,"to be satisfied or pleased, to please or satisfyto be satisfied, to lightto please or to be pleased"
1358,तृष्,trish,tr̩ʂ,"to be thirsty, to wish"
1359,त्रुप्,trup,trup,"trump, trumph to kill, injure or hurt"
1360,त्रुट्,trut,truʈ,to cutto cutto break
1361,त्सर्,tsar,tsər,to creepto crawlto proceed crookedly or fraudulently
1362,तु,tu,tu,"to go, to grow, to kill"
1363,तुभ्,tubh,tub̤,"to injure, hurt or killto killto kill"
1364,तुड्,tud,tuɖ,"to split, to push, to injure, to hurtto tear, to kill"
1365,तुद्,tud,tud,to woundto striketo painto ved
1366,तूड्,tud,tuːɖ,"to split, to disregard"
1367,तुड्ड्,tudd,tuɖɖ,"to disregard, to condemn"
1368,तुह्,tuh,tuɦ,"to hurt, to kill, to pain"
1369,तुज्,tuj,tud͡ʒ,"to hurt, injure or killto reach, to kill, to be strong, to take, to dwell, to protect to cloth, to strike, to push, to emit, to incite, to giveto strike, to be strong, to take, to live"
1370,तुल्,tul,tul,"to weigh, to measure"
1371,तूल्,tul,tuːl,"to weigh, to measure"
1372,तुम्ब्,tumb,tumb,"to be invisible, to troubleto distress, to hurt"
1373,तुम्प्,tump,tump,"to injure, hurt or kill"
1374,तुण्,tun,tuɳ,to curveto fill up
1375,तुण्ड्,tund,tuɳɖ,"to disregard, to condemn"
1376,तुप्,tup,tup,"to injure, hurt or kill"
1377,तुफ्,tuph,tupʰ,"to injure, hurt or kill"
1378,तुप्तुम्प्,tuptump,tuptump,to killto please or to be pleased
1379,तुर्,tur,tur,"to make hasteto be quickly, to make haste, to hurt or kill"
1380,तुर्व्,turv,turv,to kill
1381,तुस्,tus,tus,to sound
1382,तुष्,tush,tuʂ,to be pleased or delighted
1383,तूष्,tush,tuːʂ,to satisfy or to be satisfied
1384,तुट्,tut,tuʈ,to quarrelto cut
1385,तुत्थ्,tutth,tuttʰ,to cover
1386,त्वच्,tvach,tvət͡ʃ,to coverto go
1387,त्वक्ष्,tvaksh,tvəkʂ,to make thin
1388,ट्वल्,tval,ʈvəl,to be confused
1389,त्वङ्ग्,tvang,tvəŋɡ,to goto tremble
1390,त्विष्,tvish,tviʂ,to shineto glitter
1391,त्यज्,tyaj,tjəd͡ʒ,"to abandon, to leave, to quit, to let go, to renounce, to except, to distribute, to disregard"
1392,उ,u,u,to utter a voiceto sound
1393,उभ्,ubh,ub̤,to fill with
1394,उब्ज्,ubj,ubd͡ʒ,to make straight
1395,उच्,uch,ut͡ʃ,to be gathered together
1396,उच्छ्,uchchh,ut͡ʃt͡ʃʰ,to dwell abroadto retire
1397,उछ्,uchh,ut͡ʃʰ,to gleanto glean
1398,उध्रस्,udhras,ud̤rəs,to gleanto glean
1399,उह्,uh,uɦ,to hurt or kill
1400,ऊह्,uh,uːɦ,"to conjecture, to infer, to guessto noteto expectto reason"
1401,उज्झ्,ujjh,ud͡ʒd͡ʒ̤,to abandonto leave
1402,उख्,ukh,ukʰ,to go
1403,उक्ष्,uksh,ukʂ,to sprinkleto wet
1404,उलण्ड्,uland,ulɳɖ,to throw up
1405,ऊन्,un,uːn,"to lessen, to deduct"
1406,उन्द्,und,und,to moisten
1407,उङ्ख्,unkh,uŋkʰ,to go
1408,उर्द्,urd,urd,"to measure, to playto tasteto grantto be cheerful"
1409,ऊर्ज्,urj,uːrd͡ʒ,"to be strong, to live"
1410,ऊर्णु,urnu,uːrɳu,to cover
1411,उर्व्,urv,urv,to kill or hurt
1412,उष्,ush,uʂ,to burn
1413,ऊष्,ush,uːʂ,to be ill
1414,उठ्,uth,uʈʰ,to knock down
1415,ऊठ्,uth,uːʈʰ,to knock down
1416,ऊय्,uy,uːj,to weaveto sew
1417,वा,va,vaː,to goto blowto hurtto injureto killto move
1418,वभ्,vabh,vəb̤,to goto move
1419,वच्,vach,vət͡ʃ,"to deceiveto goto speak, to tell, to readto speakto readto nameto callto announce"
1420,वाछ्,vachh,vaːt͡ʃʰ,to desireto wish
1421,वद्,vad,vəd,"to inform, to communicateto speakto tellto describeto utter"
1422,वह्,vah,vəɦ,"to bear, to carryto flowto marryto propel"
1423,वाह्,vah,vaːɦ,to endeavour
1424,वै,vai,væː,"to be dry, to be languid"
1425,वज्,vaj,vəd͡ʒ,"to goto moveto prepare the way, to feather an arrow"
1426,वख्,vakh,vəkʰ,to goto move
1427,वक्ष्,vaksh,vəkʂ,to be angryto collect
1428,वल्,val,vəl,to coverto moveto coverto move
1429,वल्भ्,valbh,vəlb̤,to eatto devour
1430,वल्ग्,valg,vəlɡ,to goto moveto jumpto gallopto be pleased
1431,वल्ह्,valh,vəlɦ,"to speak, to kill or hurtto give"
1432,वल्क्,valk,vəlk,to speak
1433,वल्ल्,vall,vəll,to be coveredto goto move
1434,वम्,vam,vəm,"to vomit, to dropto emitto give outto reject"
1435,वण्,van,vəɳ,to sound
1436,वन्,van,vən,"to actto beg, to request, to seekto soundto honourto aid"
1437,वङ्घ्,vangh,vəŋɡ̤,to goto blame
1438,वङ्क्,vank,vəŋk,to be crookedto go
1439,वङ्ख्,vankh,vəŋkʰ,to goto move
1440,वाङ्क्ष्,vanksh,vaːŋkʂ,to wishto desire
1441,वण्ट्,vant,vəɳʈ,to salute respectfullyto praiseto divideto divide
1442,वप्,vap,vəp,to sowto plantto procreateto weaveto shaveto shear
1443,वर्,var,vər,"to wish, to obtain, to desire"
1444,वर्च्,varch,vərt͡ʃ,to shine
1445,वर्ध्,vardh,vərd̤,"to cut, to fill"
1446,वर्ह्,varh,vərɦ,to speakto killto kill or hurtto give
1447,वर्ण्,varn,vərɳ,"to paint, to delineate, to extend, to praise, to describe, to drive"
1448,वर्ष्,varsh,vərʂ,to meltto love
1449,वस्,vas,vəs,"to dwellto dwellto liveto fix, to be straightto love, to cut, to take awayto wear, to dress"
1450,वास्,vas,vaːs,"to perfume, to incense"
1451,वश्,vash,vəʃ,to wishto long for
1452,वष्,vash,vəʂ,to hurtto killto injure
1453,वाश्,vash,vaːʃ,"to howl, to growl, to roar"
1454,वस्क्,vask,vəsk,to goto move
1455,वस्त्,vast,vəst,"to hurt, to torment, to go, to ask"
1456,वट्,vat,vəʈ,"to coverto surroundto speakto tie, to string, to connect, to divide"
1457,वात्,vat,vaːt,"to make happy, to serveto fan"
1458,वठ्,vath,vəʈʰ,to become fatto go aloneto tie
1459,वावृत्,vavrit,vaːvr̩t,to choose
1460,वय्,vay,vəj,to goto move
1461,वे,ve,ve,"to weave, to sew, to compose"
1462,वेह्,veh,veɦ,to endeavour
1463,वेल्,vel,vel,"to count the timeto go, to moveto shaketo tremble"
1464,वेण्,ven,veɳ,"to go, to know, to consider, to play on an instrument, to take"
1465,वेप्,vep,vep,"to tremble, to shake"
1466,वेष्ट्,vesht,veʂʈ,"to surround, to dress"
1467,वेथ्,veth,vetʰ,"to beg, to ask"
1468,वेवी,vevi,veviː,"to go, to pervade, to be born, to impregnate, to desire, to throw, to eat"
1469,वी,vi,viː,to goto pervadeto be bornto be impregnateto desireto throwto eatto conceive
1470,विच्,vich,vit͡ʃ,"to divide, to separate, to discern, to remove from"
1471,विच्छ्,vichchh,vit͡ʃt͡ʃʰ,"to go, to moveto speak, to shine"
1472,विद्,vid,vid,"to be, to existto discuss, to reason upon, to consider, to understandto feel, to experience, to tell, to dwellto get, to obtain, to find, to take in marriageto knowto learnto find outto consider"
1473,विडम्ब्,vidamb,viɖmb,"to mock, to imitate, to ridicule"
1474,विध्,vidh,vid̤,to pierce
1475,विज्,vij,vid͡ʒ,"to fear, to trembleto fear, to tremble, to be disgustedto separate, to divide, to distinguish, to discern"
1476,वीज्,vij,viːd͡ʒ,to fan
1477,विल्,vil,vil,"to cover, to concealto throw, to cast"
1478,वीर्,vir,viːr,"to display heroism, to be powerful"
1479,विस्,vis,vis,to send
1480,विश्,vish,viʃ,to enter
1481,विष्,vish,viʂ,to pervadeto separateto disjointo sprinkle
1482,विष्क्,vishk,viʂk,"to see, to perceive"
1483,विट्,vit,viʈ,to curseto sound
1484,विथ्,vith,vitʰ,to begto ask
1485,व्ली,vli,vliː,"to choose, to select, to hold, to go"
1486,व्रज्,vraj,vrəd͡ʒ,"to clear the way, to goto go"
1487,व्रण्,vran,vrəɳ,"to soundto wound, to hurt"
1488,व्रश्च्,vrashch,vrəʃt͡ʃ,"to cut, to tear, to wound"
1489,वृ,vri,vr̩,"to chooseto selectto chooseto solicitto coverto surroundto restrainto cover, to concealto coverto concealto serveto worship"
1490,व्री,vri,vriː,"to chooseto choose, to select, to hold, to go"
1491,वृच्,vrich,vr̩t͡ʃ,"to abandon, to exclude"
1492,व्रीड्,vrid,vriːɖ,"to throw, to be ashamed"
1493,वृध्,vridh,vr̩d̤,"to incrase, to grow, to continue, to become joyful"
1494,वृह्,vrih,vr̩ɦ,"to work, to labour"
1495,वृज्,vrij,vr̩d͡ʒ,"to avoidto avoidto avoidto avoid, to abandon"
1496,वृक्,vrik,vr̩k,to acceptto seize
1497,वृक्ष्,vriksh,vr̩kʂ,to cover
1498,वृण्,vrin,vr̩ɳ,"to please, to gratify"
1499,वृंह्,vrinh,vr̩nɦ,"to speak, to shine"
1500,वृश्,vrish,vr̩ʃ,"to choose, to like"
1501,वृष्,vrish,vr̩ʂ,"to have the power of productionto rain, to sprinkle, to kill, to afflict, to give pain"
1502,वृत्,vrit,vr̩t,"to beto happento be presento actto tend toto choose, to liketo speak, to shine"
1503,व्रुड्,vrud,vruɖ,"to cover, to heap"
1504,वुङ्ग्,vung,vuŋɡ,"to abandon, to leave"
1505,वुण्ट्,vunt,vuɳʈ,vuṣ to kill
1506,वुस्,vus,vus,to divide
1507,व्यच्,vyach,vjət͡ʃ,"to deceive, to defraud"
1508,व्यध्,vyadh,vjəd̤,"to strike, to hurt, to stab, to pierce"
1509,व्यथ्,vyath,vjətʰ,"to be vexed, to fear, to become dry"
1510,व्यय्,vyay,vjəj,"to expendto go, to move"
1511,व्ये,vye,vje,"to cover, to veil"
1512,व्युष्,vyush,vjuʂ,"to divide, to burn"
1513,या,ya,jaː,to goto attend toto go or pass awayto attemptto perceive
1514,यभ्,yabh,jəb̤,to cohabit
1515,याच्,yach,jaːt͡ʃ,"to beg, to ask, to solicit"
1516,यज्,yaj,jəd͡ʒ,"to make an oblation to a deity, to associate with, to sacrifice, to worship, to give"
1517,यक्ष्,yaksh,jəkʂ,to honour
1518,यम्,yam,jəm,"to check, to stopto cover, to surround"
1519,यन्त्र्,yantr,jəntr,"to restrain, to bind"
1520,यस्,yas,jəs,"to endeavourto strive, to endeavour, to labour"
1521,यत्,yat,jət,"to strive after, to be watchfulto torture, to encourage"
1522,यौट्,yaut,jɔːʈ,to bind
1523,येष्,yesh,jeʂ,"to try, to attempt"
1524,यु,yu,ju,"to bindto censure, to despiseto mixto jointo separate"
1525,युच्छ्,yuchchh,jut͡ʃt͡ʃʰ,"to err, to be negligent"
1526,युध्,yudh,jud̤,"to fight, to contend with"
1527,युज्,yuj,jud͡ʒ,"to bind, to restrainto join, to unite, to apply, to use, to meditate, to concentrate the mind, to prepare, to grant, to intendto meditate, to curb one’s mind, to concentrate the mindto unite, to bind, to yoke"
1528,युङ्ग्,yung,juŋɡ,"to abandon, to desert"
1529,युप्,yup,jup,to confuse
1530,युष्,yush,juʂ,"to injure, hurt or killto serve"
1531,युत्,yut,jut,to shine
